Timestamp,Rssi,Snr,SequenceNumber,SpreadingFactor,TxPower,Bandwidth
132963206716186727,-68,8,22,10,14,2
132963206716487108,-69,9,23,10,14,2
132963206716807524,-68,10,24,10,14,2
132963206717250023,-68,8,25,10,14,2
132963206718210284,-71,9,26,10,14,2
132963206719146985,-81,8,27,10,14,2
132963206719570102,-77,9,28,10,14,2
132963206720161453,-76,9,29,10,14,2
132963206720908724,-74,9,30,10,14,2
132963206721654046,-74,9,31,10,14,2
132963206722535081,-73,9,32,10,14,2
132963206723133495,-80,9,33,10,14,2
132963206723889421,-67,10,34,10,14,2
132963206724723160,-61,9,35,10,14,2
132963206725832015,-60,9,36,10,14,2
132963206726485252,-58,9,37,10,14,2
132963206726949075,-58,9,38,10,14,2
132963206727622490,-61,8,39,10,14,2
132963206728446434,-66,8,40,10,14,2
132963206729642439,-58,9,41,10,14,2
132963206733898008,-58,8,42,10,14,2
132963206734086153,-59,9,43,10,14,2
132963206734177155,-60,9,44,10,14,2
132963206734249151,-64,8,45,10,14,2
132963206734322195,-69,9,46,10,14,2
132963206734393907,-71,9,47,10,14,2
132963206734509265,-66,9,48,10,14,2
132963206735017948,-65,9,49,10,14,2
132963206735745417,-64,8,50,10,14,2
132963206736779970,-63,9,51,10,14,2
132963206737342021,-60,9,52,10,14,2
132963206737965690,-57,8,53,10,14,2
132963206738725423,-59,9,54,10,14,2
132963206739961508,-58,9,55,10,14,2
132963206740548852,-56,10,56,10,14,2
132963206741183310,-62,8,57,10,14,2
132963206742107519,-57,9,58,10,14,2
132963206742843451,-63,8,59,10,14,2
132963206743437102,-67,9,60,10,14,2
132963206743950774,-63,9,61,10,14,2
132963206745060130,-60,9,62,10,14,2
132963206745891619,-57,9,63,10,14,2
132963206746498530,-58,9,64,10,14,2
132963206746918449,-59,9,65,10,14,2
132963206747803483,-59,8,66,10,14,2
132963206748771763,-60,9,67,10,14,2
132963206749219682,-57,9,68,10,14,2
132963206750297675,-55,9,69,10,14,2
132963206751149670,-57,8,70,10,14,2
132963206751766943,-59,9,71,10,14,2
132963206752512020,-61,9,72,10,14,2
132963206752959757,-64,9,73,10,14,2
132963206753576105,-61,9,74,10,14,2
132963206754744496,-59,9,75,10,14,2
132963206755455308,-61,8,76,10,14,2
132963206755883727,-59,10,77,10,14,2
132963206756930685,-58,9,78,10,14,2
132963206757764182,-62,8,79,10,14,2
132963206758490009,-60,9,80,10,14,2
132963206759292410,-55,8,81,10,14,2
132963206760065073,-54,10,82,10,14,2
132963206760667862,-52,9,83,10,14,2
132963206761476983,-51,9,84,10,14,2
132963206762069383,-51,9,85,10,14,2
132963206762607893,-52,10,86,10,14,2
132963206763231994,-53,9,87,10,14,2
132963206764168675,-52,9,88,10,14,2
132963206764740467,-52,9,89,10,14,2
132963206765854987,-52,9,90,10,14,2
132963206766694842,-52,9,91,10,14,2
132963206767195310,-53,9,92,10,14,2
132963206767765301,-53,9,93,10,14,2
132963206768908297,-52,9,94,10,14,2
132963206769635530,-54,9,95,10,14,2
132963206770319008,-52,9,96,10,14,2
132963206771116994,-51,8,97,10,14,2
132963206771554849,-52,10,98,10,14,2
132963206772206756,-55,9,99,10,14,2
132963206773357373,-56,9,100,10,14,2
132963206774117328,-61,8,101,10,14,2
132963206775038619,-60,9,102,10,14,2
132963206775578070,-56,9,103,10,14,2
132963206776129489,-56,8,104,10,14,2
132963206776989112,-56,8,105,10,14,2
132963206777746128,-56,9,106,10,14,2
132963206778561125,-57,9,107,10,14,2
132963206779309178,-61,9,108,10,14,2
132963206780035118,-68,8,109,10,14,2
132963206780591945,-64,9,110,10,14,2
132963206781065669,-63,9,111,10,14,2
132963206781762307,-57,9,112,10,14,2
132963206782501273,-55,9,113,10,14,2
132963206783250823,-54,9,114,10,14,2
132963206784497107,-54,10,115,10,14,2
132963206785135660,-56,9,116,10,14,2
132963206785769821,-57,9,117,10,14,2
132963206786600011,-59,10,118,10,14,2
132963206787286286,-58,9,119,10,14,2
132963206788069383,-56,9,120,10,14,2
132963206788943717,-56,9,121,10,14,2
132963206789684580,-58,10,122,10,14,2
132963206790329802,-58,9,123,10,14,2
132963206790880620,-60,9,124,10,14,2
132963206791824905,-59,9,125,10,14,2
132963206792559713,-57,9,126,10,14,2
132963206793330775,-58,9,127,10,14,2
132963206794158520,-60,9,128,10,14,2
132963206794937536,-69,8,129,10,14,2
132963206795701141,-72,9,130,10,14,2
132963206796512634,-80,8,131,10,14,2
132963206797307649,-71,9,132,10,14,2
132963206797887689,-72,9,133,10,14,2
132963206798700141,-84,8,134,10,14,2
132963206799459528,-73,9,135,10,14,2
132963206800086904,-80,7,136,10,14,2
132963206800603956,-78,9,137,10,14,2
132963206801397528,-76,10,138,10,14,2
132963206802318370,-67,9,139,10,14,2
