Timestamp,GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,ConfiguredPacketErrorRate,Success,TriggeredByDecodingResult,TriggeredByCompleteLoss,Rank
132961430650933655,0,80,60,80,0,80,1,0,False,False,True,0
132961430650971391,1,80,60,80,0,80,1,0,False,False,True,0
132961430651005878,2,80,60,80,0,80,1,0,False,False,True,0
132961430651040455,3,80,60,80,0,80,1,0,False,False,True,0
132961430651093479,4,80,60,80,0,80,1,0,False,False,True,0
132961430651127462,5,80,60,80,0,80,1,0,False,False,True,0
132961430651161772,6,80,60,80,0,80,1,0,False,False,True,0
132961430651207981,7,80,60,80,0,80,1,0,False,False,True,0
132961430651244285,8,80,60,80,0,80,1,0,False,False,True,0
132961430651279021,9,80,60,80,0,80,1,0,False,False,True,0
132961430651313396,10,80,60,80,0,80,1,0,False,False,True,0
132961430651347789,11,80,60,80,0,80,1,0,False,False,True,0
132961430651433994,12,80,60,80,0,80,1,0,False,False,True,0
132961430651479622,13,80,60,80,0,80,1,0,False,False,True,0
132961430651541643,14,80,60,80,0,80,1,0,False,False,True,0
132961430651579765,15,80,60,80,0,80,1,0,False,False,True,0
132961430651614448,16,80,60,80,0,80,1,0,False,False,True,0
132961430651648881,17,80,60,80,0,80,1,0,False,False,True,0
132961430651695266,18,80,60,80,0,80,1,0,False,False,True,0
132961430651731143,19,80,60,80,0,80,1,0,False,False,True,0
132961430651766216,20,80,60,80,0,80,1,0,False,False,True,0
132961430651799741,21,80,60,80,0,80,1,0,False,False,True,0
132961430651874915,22,80,60,80,0,80,1,0,False,False,True,0
132961430651916380,23,80,60,80,0,80,1,0,False,False,True,0
132961430651950130,24,80,60,80,0,80,1,0,False,False,True,0
132961430652004418,25,80,60,80,0,80,1,0,False,False,True,0
132961430652038341,26,80,60,80,0,80,1,0,False,False,True,0
132961430652072844,27,80,60,80,0,80,1,0,False,False,True,0
132961430652106471,28,80,60,80,0,80,1,0,False,False,True,0
132961430652140061,29,80,60,80,0,80,1,0,False,False,True,0
