PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0,8,19,339,0,20,True,19,0,20,True,26,222,2932232616,959586516
0,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.05,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.05,1,21,61,2,20,True,19,2,20,True,239,134,369227209,159028224
0.05,2,21,101,2,20,True,19,2,20,True,143,75,369227209,159028224
0.05,3,20,140,1,20,True,19,1,20,True,28,250,959586516,369227209
0.05,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.05,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0.05,6,22,262,3,20,True,19,3,20,True,188,145,159028224,1188080670
0.05,7,21,301,2,20,True,19,2,20,True,198,2,369227209,159028224
0.05,8,21,341,2,20,True,19,2,20,True,26,222,369227209,159028224
0.05,9,21,381,2,20,True,19,2,20,True,137,111,369227209,159028224
0.05,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.05,11,21,461,2,20,True,19,2,20,True,245,156,369227209,159028224
0.05,12,22,502,3,20,True,19,3,20,True,41,71,159028224,1188080670
0.05,13,21,541,2,20,True,19,2,20,True,16,212,369227209,159028224
0.05,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.1,0,20,20,1,20,True,19,1,20,True,124,184,959586516,369227209
0.1,1,25,65,6,20,True,19,6,20,True,239,134,1215546913,117655301
0.1,2,25,105,6,20,True,19,6,20,True,143,75,1215546913,117655301
0.1,3,22,142,3,20,True,19,3,20,True,28,250,159028224,1188080670
0.1,4,20,180,1,20,True,19,1,20,True,79,38,959586516,369227209
0.1,5,20,220,1,20,True,19,1,20,True,113,181,959586516,369227209
0.1,6,20,260,1,20,True,19,1,20,True,188,145,959586516,369227209
0.1,7,20,300,1,20,True,19,1,20,True,198,2,959586516,369227209
0.1,8,22,342,3,20,True,19,3,20,True,26,222,159028224,1188080670
0.1,9,22,382,3,20,True,19,3,20,True,137,111,159028224,1188080670
0.1,10,22,422,3,20,True,19,3,20,True,102,162,159028224,1188080670
0.1,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.1,12,21,501,2,20,True,19,2,20,True,41,71,369227209,159028224
0.1,13,23,543,4,20,True,19,4,20,True,16,212,1188080670,3414165203
0.1,14,20,580,1,20,True,19,1,20,True,221,180,959586516,369227209
0.15,0,24,24,5,20,True,19,5,20,True,124,184,3414165203,1215546913
0.15,1,21,61,2,20,True,19,2,20,True,239,134,369227209,159028224
0.15,2,29,109,10,20,True,19,10,20,True,143,75,881403043,290148888
0.15,3,24,144,5,20,True,19,5,20,True,28,250,3414165203,1215546913
0.15,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.15,5,23,223,4,20,True,19,4,20,True,113,181,1188080670,3414165203
0.15,6,23,263,4,20,True,19,4,20,True,188,145,1188080670,3414165203
0.15,7,25,305,6,20,True,19,6,20,True,198,2,1215546913,117655301
0.15,8,24,344,5,20,True,19,5,20,True,26,222,3414165203,1215546913
0.15,9,25,385,6,20,True,19,6,20,True,137,111,1215546913,117655301
0.15,10,22,422,3,20,True,19,3,20,True,102,162,159028224,1188080670
0.15,11,22,462,3,20,True,19,3,20,True,245,156,159028224,1188080670
0.15,12,20,500,1,20,True,19,1,20,True,41,71,959586516,369227209
0.15,13,23,543,4,20,True,19,4,20,True,16,212,1188080670,3414165203
0.15,14,21,581,2,20,True,19,2,20,True,221,180,369227209,159028224
0.2,0,21,21,2,20,True,19,2,20,True,124,184,369227209,159028224
0.2,1,24,64,5,20,True,19,5,20,True,239,134,3414165203,1215546913
0.2,2,24,104,5,20,True,19,5,20,True,143,75,3414165203,1215546913
0.2,3,27,147,8,20,True,19,8,20,True,28,250,1694089972,1927849080
0.2,4,21,181,2,20,True,19,2,20,True,79,38,369227209,159028224
0.2,5,25,225,6,20,True,19,6,20,True,113,181,1215546913,117655301
0.2,6,21,261,2,20,True,19,2,20,True,188,145,369227209,159028224
0.2,7,21,301,2,20,True,19,2,20,True,198,2,369227209,159028224
0.2,8,22,342,3,20,True,19,3,20,True,26,222,159028224,1188080670
0.2,9,22,382,3,20,True,19,3,20,True,137,111,159028224,1188080670
0.2,10,25,425,6,20,True,19,6,20,True,102,162,1215546913,117655301
0.2,11,22,462,3,20,True,19,3,20,True,245,156,159028224,1188080670
0.2,12,24,504,5,20,True,19,5,20,True,41,71,3414165203,1215546913
0.2,13,24,544,5,20,True,19,5,20,True,16,212,3414165203,1215546913
0.2,14,22,582,3,20,True,19,3,20,True,221,180,159028224,1188080670
0.25,0,24,24,5,20,True,19,5,20,True,124,184,3414165203,1215546913
0.25,1,22,62,3,20,True,19,3,20,True,239,134,159028224,1188080670
0.25,2,29,109,10,20,True,19,10,20,True,143,75,881403043,290148888
0.25,3,26,146,7,20,True,19,7,20,True,28,250,117655301,1694089972
0.25,4,27,187,8,20,True,19,8,20,True,79,38,1694089972,1927849080
0.25,5,29,229,10,20,True,19,10,20,True,113,181,881403043,290148888
0.25,6,23,263,4,20,True,19,4,20,True,188,145,1188080670,3414165203
0.25,7,21,301,2,20,True,19,2,20,True,198,2,369227209,159028224
0.25,8,21,341,2,20,True,19,2,20,True,26,222,369227209,159028224
0.25,9,23,383,4,20,True,19,4,20,True,137,111,1188080670,3414165203
0.25,10,28,428,9,20,True,19,9,20,True,102,162,1927849080,881403043
0.25,11,26,466,7,20,True,19,7,20,True,245,156,117655301,1694089972
0.25,12,28,508,9,20,True,19,9,20,True,41,71,1927849080,881403043
0.25,13,28,548,9,20,True,19,9,20,True,16,212,1927849080,881403043
0.25,14,31,591,12,20,True,19,12,20,True,221,180,2155938634,3428832667
0.3,0,29,29,10,20,True,19,10,20,True,124,184,881403043,290148888
0.3,1,31,71,12,20,True,19,12,20,True,239,134,2155938634,3428832667
0.3,2,24,104,5,20,True,19,5,20,True,143,75,3414165203,1215546913
0.3,3,24,144,5,20,True,19,5,20,True,28,250,3414165203,1215546913
0.3,4,26,186,7,20,True,19,7,20,True,79,38,117655301,1694089972
0.3,5,30,230,11,20,True,19,11,20,True,113,181,290148888,2155938634
0.3,6,27,267,8,20,True,19,8,20,True,188,145,1694089972,1927849080
0.3,7,29,309,10,20,True,19,10,20,True,198,2,881403043,290148888
0.3,8,23,343,4,20,True,19,4,20,True,26,222,1188080670,3414165203
0.3,9,29,389,10,20,True,19,10,20,True,137,111,881403043,290148888
0.3,10,28,428,9,20,True,19,9,20,True,102,162,1927849080,881403043
0.3,11,28,468,9,20,True,19,9,20,True,245,156,1927849080,881403043
0.3,12,27,507,8,20,True,19,8,20,True,41,71,1694089972,1927849080
0.3,13,27,547,8,20,True,19,8,20,True,16,212,1694089972,1927849080
0.3,14,26,586,7,20,True,19,7,20,True,221,180,117655301,1694089972
0.35,0,24,24,5,20,True,19,5,20,True,124,184,3414165203,1215546913
0.35,1,38,78,19,20,True,19,19,20,True,239,134,390411510,215561586
0.35,2,26,106,7,20,True,19,7,20,True,143,75,117655301,1694089972
0.35,3,27,147,8,20,True,19,8,20,True,28,250,1694089972,1927849080
0.35,4,30,190,11,20,True,19,11,20,True,79,38,290148888,2155938634
0.35,5,32,232,13,20,True,19,13,20,True,113,181,3428832667,12750172
0.35,6,29,269,10,20,True,19,10,20,True,188,145,881403043,290148888
0.35,7,24,304,5,20,True,19,5,20,True,198,2,3414165203,1215546913
0.35,8,33,353,14,20,True,19,14,20,True,26,222,12750172,1038962027
0.35,9,39,399,20,20,False,19,21,19,True,57,206,215561586,563019712
0.35,10,27,427,8,20,True,19,8,20,True,102,162,1694089972,1927849080
0.35,11,29,469,10,20,True,19,10,20,True,245,156,881403043,290148888
0.35,12,27,507,8,20,True,19,8,20,True,41,71,1694089972,1927849080
0.35,13,36,556,17,20,True,19,17,20,True,16,212,410824228,516815495
0.35,14,32,592,13,20,True,19,13,20,True,221,180,3428832667,12750172
0.4,0,32,32,13,20,True,19,13,20,True,124,184,3428832667,12750172
0.4,1,27,67,8,20,True,19,8,20,True,239,134,1694089972,1927849080
0.4,2,37,117,18,20,True,19,18,20,True,143,75,516815495,390411510
0.4,3,29,149,10,20,True,19,10,20,True,28,250,881403043,290148888
0.4,4,30,190,11,20,True,19,11,20,True,79,38,290148888,2155938634
0.4,5,29,229,10,20,True,19,10,20,True,113,181,881403043,290148888
0.4,6,31,271,12,20,True,19,12,20,True,188,145,2155938634,3428832667
0.4,7,38,318,19,20,True,19,19,20,True,198,2,390411510,215561586
0.4,8,26,346,7,20,True,19,7,20,True,26,222,117655301,1694089972
0.4,9,32,392,13,20,True,19,13,20,True,137,111,3428832667,12750172
0.4,10,30,430,11,20,True,19,11,20,True,102,162,290148888,2155938634
0.4,11,30,470,11,20,True,19,11,20,True,245,156,290148888,2155938634
0.4,12,29,509,10,20,True,19,10,20,True,41,71,881403043,290148888
0.4,13,30,550,11,20,True,19,11,20,True,16,212,290148888,2155938634
0.4,14,27,587,8,20,True,19,8,20,True,221,180,1694089972,1927849080
0.45,0,31,31,12,20,True,19,12,20,True,124,184,2155938634,3428832667
0.45,1,33,73,14,20,True,19,14,20,True,239,134,12750172,1038962027
0.45,2,39,119,20,20,False,19,21,19,True,103,136,215561586,563019712
0.45,3,38,158,19,20,False,19,20,19,True,230,152,390411510,215561586
0.45,4,36,196,17,20,True,19,17,20,True,79,38,410824228,516815495
0.45,5,34,234,15,20,True,19,15,20,True,113,181,1038962027,3472014867
0.45,6,38,278,19,20,False,18,21,18,True,168,26,390411510,215561586
0.45,7,35,315,16,20,True,19,16,20,True,198,2,3472014867,410824228
0.45,8,30,350,11,20,True,19,11,20,True,26,222,290148888,2155938634
0.45,9,38,398,19,20,False,16,23,16,True,76,255,390411510,215561586
0.45,10,30,430,11,20,True,19,11,20,True,102,162,290148888,2155938634
0.45,11,29,469,10,20,True,19,10,20,True,245,156,881403043,290148888
0.45,12,36,516,17,20,True,19,17,20,True,41,71,410824228,516815495
0.45,13,39,559,20,20,True,19,20,20,True,16,212,215561586,563019712
0.45,14,25,585,6,20,True,19,6,20,True,221,180,1215546913,117655301
0.5,0,31,31,12,20,True,19,12,20,True,124,184,2155938634,3428832667
0.5,1,36,76,17,20,True,19,17,20,True,239,134,410824228,516815495
0.5,2,35,115,16,20,True,19,16,20,True,143,75,3472014867,410824228
0.5,3,34,154,15,20,False,18,17,18,True,161,10,1038962027,3472014867
0.5,4,33,193,14,20,True,19,14,20,True,79,38,12750172,1038962027
0.5,5,29,229,10,20,True,19,10,20,True,113,181,881403043,290148888
0.5,6,34,274,15,20,True,19,15,20,True,188,145,1038962027,3472014867
0.5,7,38,318,19,20,True,19,19,20,True,198,2,390411510,215561586
