Timestamp,PerConfig,Per100,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
132961428225422598,0,0,0,0,0,-19,60,False,1,0,1,True,216,216,1,2525019014
132961428226423722,0,0,0,1,1,-18,60,False,2,0,2,True,57,216,2525019014,2592004160
132961428227426812,0,0,0,2,2,-17,60,False,3,0,3,True,61,216,2592004160,1988683261
132961428228415769,0,0,0,3,3,-16,60,False,4,0,4,True,23,14,1988683261,2677848701
132961428229412622,0,0,0,4,4,-15,60,False,5,0,5,True,116,192,2677848701,263841224
132961428230407095,0,0,0,5,5,-14,60,False,6,0,6,True,227,162,263841224,3531698935
132961428231409521,0,0,0,6,6,-13,60,False,7,0,7,True,50,195,3531698935,515086452
132961428232410259,0,0,0,7,7,-12,60,False,8,0,8,True,242,238,515086452,1021539344
132961428233403186,0,0,0,8,8,-11,60,False,9,0,9,True,99,148,1021539344,1534276539
132961428234402484,0,0,0,9,9,-10,60,False,10,0,10,True,147,115,1534276539,4225193153
132961428235396051,0,0,0,10,10,-9,60,False,11,0,11,True,254,239,4225193153,2680931039
132961428236394275,0,0,0,11,11,-8,60,False,12,0,12,True,193,230,2680931039,3821198068
132961428237391469,0,0,0,12,12,-7,60,False,13,0,13,True,228,37,3821198068,3333533055
132961428238386397,0,0,0,13,13,-6,60,False,14,0,14,True,144,73,3333533055,3756345482
132961428239384248,0,0,0,14,14,-5,60,False,15,0,15,True,107,139,3756345482,364380949
132961428240387810,0,0,0,15,15,-4,60,False,16,0,16,True,209,45,364380949,3283420129
132961428241381130,0,0,0,16,16,-3,60,False,17,0,17,True,217,78,3283420129,2109694035
132961428242375639,0,0,0,17,17,-2,60,False,18,0,18,True,142,13,2109694035,1323037321
132961428243478708,0,0,0,18,18,-1,60,False,19,0,19,True,198,215,1323037321,2932232616
132961428244373614,0,0,0,19,19,0,60,True,19,0,20,True,124,184,2932232616,959586516
132961428245357493,0,0,0,20,20,1,60,True,19,0,21,True,124,184,959586516,369227209
132961428246373456,0,0,0,21,21,2,60,True,19,0,22,True,124,184,369227209,159028224
132961428247345647,0,0,0,22,22,3,60,True,19,0,23,True,124,184,159028224,1188080670
132961428248342954,0,0,0,23,23,4,60,True,19,0,24,True,124,184,1188080670,3414165203
132961428249338745,0,0,0,24,24,5,60,True,19,0,25,True,124,184,3414165203,1215546913
132961428250336640,0,0,0,25,25,6,60,True,19,0,26,True,124,184,1215546913,117655301
132961428251331771,0,0,0,26,26,7,60,True,19,0,27,True,124,184,117655301,1694089972
132961428252327995,0,0,0,27,27,8,60,True,19,0,28,True,124,184,1694089972,1927849080
132961428253329811,0,0,0,28,28,9,60,True,19,0,29,True,124,184,1927849080,881403043
132961428254317457,0,0,0,29,29,10,60,True,19,0,30,True,124,184,881403043,290148888
132961428255316121,0,0,0,30,30,11,60,True,19,0,31,True,124,184,290148888,2155938634
132961428256312021,0,0,0,31,31,12,60,True,19,0,32,True,124,184,2155938634,3428832667
132961428257316575,0,0,0,32,32,13,60,True,19,0,33,True,124,184,3428832667,12750172
132961428258305996,0,0,0,33,33,14,60,True,19,0,34,True,124,184,12750172,1038962027
132961428259297445,0,0,0,34,34,15,60,True,19,0,35,True,124,184,1038962027,3472014867
132961428260297789,0,0,0,35,35,16,60,True,19,0,36,True,124,184,3472014867,410824228
132961428261292283,0,0,0,36,36,17,60,True,19,0,37,True,124,184,410824228,516815495
132961428262292826,0,0,0,37,37,18,60,True,19,0,38,True,124,184,516815495,390411510
