GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,ConfiguredPacketErrorRate,Success,Rank
0,6,3,2,6,8,0.25,0.25,True,6
1,6,3,2,6,8,0.25,0.25,True,6
2,6,3,1,6,7,0.14285715,0.25,True,6
3,6,3,1,6,7,0.14285715,0.25,True,6
4,6,3,3,6,9,0.33333334,0.25,True,6
5,6,3,0,6,6,0,0.25,True,6
6,8,3,3,5,8,1,0.25,False,0
7,6,3,2,6,8,0.25,0.25,True,6
8,6,3,0,2,2,0,0.25,True,2
0,6,3,1,6,7,0.14285715,0.3,True,6
1,6,3,2,6,8,0.25,0.3,True,6
2,6,3,2,6,8,0.25,0.3,True,6
3,9,3,5,4,9,1,0.3,False,0
4,6,3,2,6,8,0.25,0.3,True,6
5,9,3,4,5,9,1,0.3,False,0
6,6,3,1,6,7,0.14285715,0.3,True,6
7,6,3,1,6,7,0.14285715,0.3,True,6
8,6,3,0,2,2,0,0.3,True,2
1,6,3,2,6,8,0.25,0.35000002,True,6
2,6,3,0,6,6,0,0.35000002,True,6
3,6,3,3,6,9,0.33333334,0.35000002,True,6
4,6,3,1,6,7,0.14285715,0.35000002,True,6
5,9,3,4,5,9,1,0.35000002,False,0
6,7,3,3,4,7,1,0.35000002,False,0
7,8,3,3,5,8,1,0.35000002,False,0
8,6,3,0,2,2,0,0.35000002,True,2
0,6,3,2,6,8,0.25,0.40000004,True,6
1,6,3,1,6,7,0.14285715,0.40000004,True,6
2,6,3,1,6,7,0.14285715,0.40000004,True,6
3,8,3,4,4,8,1,0.40000004,False,0
4,6,3,1,6,7,0.14285715,0.40000004,True,6
5,8,3,3,5,8,1,0.40000004,False,0
6,6,3,3,6,9,0.33333334,0.40000004,True,6
7,8,3,3,5,8,1,0.40000004,False,0
8,6,3,1,2,3,0.33333334,0.40000004,True,2
