GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,ConfiguredPacketErrorRate,Success,TriggeredByDecodingResult,TriggeredByCompleteLoss,Rank
0,6,3,1,6,7,0.14285715,0.25,True,True,False,6
1,6,3,0,6,6,0,0.25,True,True,False,6
2,6,3,2,6,8,0.25,0.25,True,True,False,6
3,6,3,3,6,9,0.33333334,0.25,True,True,False,6
4,6,3,2,6,8,0.25,0.25,True,True,False,6
5,9,3,4,5,9,0.44444445,0.25,False,False,False,0
6,6,3,1,6,7,0.14285715,0.25,True,True,False,6
7,6,3,0,6,6,0,0.25,True,True,False,6
8,6,3,0,2,2,0,0.25,True,True,False,2
0,6,3,1,6,7,0.14285715,0.3,True,True,False,6
1,6,3,1,6,7,0.14285715,0.3,True,True,False,6
2,9,3,5,4,9,0.5555556,0.3,False,False,False,0
3,9,3,4,5,9,0.44444445,0.3,False,False,False,0
4,6,3,2,6,8,0.25,0.3,True,True,False,6
5,9,3,4,5,9,0.44444445,0.3,False,False,False,0
6,6,3,2,6,8,0.25,0.3,True,True,False,6
7,6,3,2,6,8,0.25,0.3,True,True,False,6
8,6,3,1,2,3,0.33333334,0.3,True,True,False,2
0,6,3,1,6,7,0.14285715,0.35000002,True,True,False,6
1,6,3,3,6,9,0.33333334,0.35000002,True,True,False,6
2,9,3,4,5,9,0.44444445,0.35000002,False,False,False,0
3,6,3,2,6,8,0.25,0.35000002,True,True,False,6
4,6,3,1,6,7,0.14285715,0.35000002,True,True,False,6
5,6,3,3,6,9,0.33333334,0.35000002,True,True,False,6
6,6,3,0,6,6,0,0.35000002,True,True,False,6
7,6,3,3,6,9,0.33333334,0.35000002,True,True,False,6
8,6,3,0,2,2,0,0.35000002,True,True,False,2
0,6,3,3,3,6,0.5,0.40000004,False,False,False,0
1,6,3,2,6,8,0.25,0.40000004,True,True,False,6
2,9,3,4,5,9,0.44444445,0.40000004,False,False,False,0
3,9,3,4,5,9,0.44444445,0.40000004,False,False,False,0
4,9,3,6,3,9,0.6666667,0.40000004,False,False,False,0
5,9,3,7,2,9,0.7777778,0.40000004,False,False,False,0
6,6,3,3,6,9,0.33333334,0.40000004,True,True,False,6
7,9,3,4,5,9,0.44444445,0.40000004,False,False,False,0
8,6,3,1,2,3,0.33333334,0.40000004,True,True,False,2
0,9,3,5,4,9,0.5555556,0.45000005,False,False,False,0
1,6,3,1,6,7,0.14285715,0.45000005,True,True,False,6
2,6,3,3,6,9,0.33333334,0.45000005,True,True,False,6
3,8,3,4,4,8,0.5,0.45000005,False,False,False,0
4,6,3,2,6,8,0.25,0.45000005,True,True,False,6
5,6,3,1,5,6,0.16666667,0.45000005,False,False,False,0
6,4,3,0,4,4,0,0.45000005,False,False,False,0
7,8,3,3,5,8,0.375,0.45000005,False,False,False,0
8,6,3,0,2,2,0,0.45000005,True,True,False,2
0,9,3,6,3,9,0.6666667,0.50000006,False,False,False,0
1,9,3,4,5,9,0.44444445,0.50000006,False,False,False,0
2,7,3,5,2,7,0.71428573,0.50000006,False,False,False,0
3,6,3,2,6,8,0.25,0.50000006,True,True,False,6
4,9,3,4,5,9,0.44444445,0.50000006,False,False,False,0
5,6,3,3,6,9,0.33333334,0.50000006,True,True,False,6
6,9,3,4,5,9,0.44444445,0.50000006,False,False,False,0
7,9,3,5,4,9,0.5555556,0.50000006,False,False,False,0
8,6,3,0,2,2,0,0.50000006,True,True,False,2
0,6,3,3,3,6,0.5,0.5500001,False,False,False,0
1,6,3,3,6,9,0.33333334,0.5500001,True,True,False,6
2,5,3,2,3,5,0.4,0.5500001,False,False,False,0
3,7,3,3,4,7,0.42857143,0.5500001,False,False,False,0
4,7,3,4,3,7,0.5714286,0.5500001,False,False,False,0
5,7,3,4,3,7,0.5714286,0.5500001,False,False,False,0
6,7,3,4,3,7,0.5714286,0.5500001,False,False,False,0
7,8,3,4,4,8,0.5,0.5500001,False,False,False,0
8,4,3,3,1,4,0.75,0.5500001,False,False,False,0
0,6,3,1,6,7,0.14285715,0.6000001,True,True,False,6
1,8,3,6,2,8,0.75,0.6000001,False,False,False,0
2,8,3,4,4,8,0.5,0.6000001,False,False,False,0
3,6,3,2,6,8,0.25,0.6000001,True,True,False,6
4,6,3,2,6,8,0.25,0.6000001,True,True,False,6
5,7,3,6,1,7,0.85714287,0.6000001,False,False,False,0
6,6,3,3,6,9,0.33333334,0.6000001,True,True,False,6
7,8,3,4,4,8,0.5,0.6000001,False,False,False,0
8,6,3,0,2,2,0,0.6000001,True,True,False,2
0,7,3,3,4,7,0.42857143,0.6500001,False,False,False,0
1,4,3,2,2,4,0.5,0.6500001,False,False,False,0
2,9,3,6,3,9,0.6666667,0.6500001,False,False,False,0
3,5,3,3,2,5,0.6,0.6500001,False,False,False,0
4,1,3,0,1,1,0,0.6500001,False,False,False,0
5,7,3,5,2,7,0.71428573,0.6500001,False,False,False,0
6,9,3,6,3,9,0.6666667,0.6500001,False,False,False,0
7,6,3,3,6,9,0.33333334,0.6500001,True,True,False,6
8,5,3,4,1,5,0.8,0.6500001,False,False,False,0
0,8,3,4,4,8,0.5,0.7000001,False,False,False,0
1,7,3,6,1,7,0.85714287,0.7000001,False,False,False,0
2,7,3,5,2,7,0.71428573,0.7000001,False,False,False,0
3,5,3,4,1,5,0.8,0.7000001,False,False,False,0
4,2,3,1,1,2,0.5,0.7000001,False,False,False,0
5,1,3,0,1,1,0,0.7000001,False,False,False,0
6,1,3,0,1,1,0,0.7000001,False,False,False,0
7,7,3,4,3,7,0.5714286,0.7000001,False,False,False,0
8,6,3,1,2,3,0.33333334,0.7000001,True,True,False,2
