GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,ConfiguredPacketErrorRate,Success,TriggeredByDecodingResult,TriggeredByCompleteLoss,Rank
0,9,10,0,19,19,0,0,True,True,False,9
1,9,10,0,19,19,0,0,True,True,False,9
2,9,10,0,19,19,0,0,True,True,False,9
3,9,10,0,19,19,0,0,True,True,False,9
4,9,10,0,19,19,0,0,True,True,False,9
5,9,10,0,19,19,0,0,True,True,False,9
6,9,10,0,19,19,0,0,True,True,False,9
7,9,10,0,19,19,0,0,True,True,False,9
8,9,10,0,19,19,0,0,True,True,False,9
9,9,10,0,19,19,0,0,True,True,False,9
10,9,10,0,19,19,0,0,True,True,False,9
11,9,10,0,19,19,0,0,True,True,False,9
12,9,10,0,19,19,0,0,True,True,False,9
13,9,10,0,19,19,0,0,True,True,False,9
14,9,10,0,19,19,0,0,True,True,False,9
15,9,10,0,19,19,0,0,True,True,False,9
16,9,10,0,19,19,0,0,True,True,False,9
17,9,10,0,19,19,0,0,True,True,False,9
18,9,10,0,19,19,0,0,True,True,False,9
19,9,10,0,19,19,0,0,True,True,False,9
20,9,10,0,19,19,0,0,True,True,False,9
21,9,10,0,19,19,0,0,True,True,False,9
22,12,10,0,12,12,0,0,False,False,False,0
0,9,10,2,17,19,0.10526316,0.05,True,True,False,9
1,9,10,0,19,19,0,0.05,True,True,False,9
2,9,10,0,19,19,0,0.05,True,True,False,9
3,9,10,0,19,19,0,0.05,True,True,False,9
4,9,10,2,17,19,0.10526316,0.05,True,True,False,9
5,9,10,1,18,19,0.05263158,0.05,True,True,False,9
6,9,10,0,19,19,0,0.05,True,True,False,9
7,9,10,2,17,19,0.10526316,0.05,True,True,False,9
8,9,10,2,17,19,0.10526316,0.05,True,True,False,9
9,18,10,1,17,18,0.055555556,0.05,False,False,False,0
10,18,10,0,18,18,0,0.05,False,False,False,0
11,9,10,0,19,19,0,0.05,True,True,False,9
12,9,10,1,18,19,0.05263158,0.05,True,True,False,9
13,9,10,1,18,19,0.05263158,0.05,True,True,False,9
14,9,10,0,19,19,0,0.05,True,True,False,9
15,9,10,0,19,19,0,0.05,True,True,False,9
16,9,10,1,18,19,0.05263158,0.05,True,True,False,9
17,9,10,1,18,19,0.05263158,0.05,True,True,False,9
18,9,10,1,18,19,0.05263158,0.05,True,True,False,9
19,9,10,1,18,19,0.05263158,0.05,True,True,False,9
20,9,10,0,19,19,0,0.05,True,True,False,9
21,18,10,1,17,18,0.055555556,0.05,False,False,False,0
22,12,10,1,11,12,0.083333336,0.05,False,False,False,0
0,9,10,4,15,19,0.21052632,0.1,True,True,False,9
1,9,10,1,18,19,0.05263158,0.1,True,True,False,9
2,9,10,2,17,19,0.10526316,0.1,True,True,False,9
3,9,10,2,17,19,0.10526316,0.1,True,True,False,9
4,9,10,2,17,19,0.10526316,0.1,True,True,False,9
5,17,10,0,17,17,0,0.1,False,False,False,0
6,9,10,1,18,19,0.05263158,0.1,True,True,False,9
7,9,10,3,16,19,0.15789473,0.1,True,True,False,9
8,9,10,2,17,19,0.10526316,0.1,True,True,False,9
9,9,10,3,16,19,0.15789473,0.1,True,True,False,9
10,9,10,0,19,19,0,0.1,True,True,False,9
11,9,10,1,18,19,0.05263158,0.1,True,True,False,9
12,9,10,0,19,19,0,0.1,True,True,False,9
13,9,10,1,18,19,0.05263158,0.1,True,True,False,9
14,9,10,1,18,19,0.05263158,0.1,True,True,False,9
15,9,10,1,18,19,0.05263158,0.1,True,True,False,9
16,9,10,1,18,19,0.05263158,0.1,True,True,False,9
17,9,10,0,19,19,0,0.1,True,True,False,9
18,9,10,3,16,19,0.15789473,0.1,True,True,False,9
19,9,10,3,16,19,0.15789473,0.1,True,True,False,9
20,9,10,2,17,19,0.10526316,0.1,True,True,False,9
21,9,10,3,16,19,0.15789473,0.1,True,True,False,9
22,12,10,1,11,12,0.083333336,0.1,False,False,False,0
0,9,10,5,14,19,0.2631579,0.15,True,True,False,9
1,9,10,4,15,19,0.21052632,0.15,True,True,False,9
2,18,10,4,14,18,0.22222222,0.15,False,False,False,0
3,9,10,1,18,19,0.05263158,0.15,True,True,False,9
4,9,10,4,15,19,0.21052632,0.15,True,True,False,9
5,9,10,1,18,19,0.05263158,0.15,True,True,False,9
6,9,10,2,17,19,0.10526316,0.15,True,True,False,9
7,18,10,1,17,18,0.055555556,0.15,False,False,False,0
8,9,10,4,15,19,0.21052632,0.15,True,True,False,9
9,9,10,1,18,19,0.05263158,0.15,True,True,False,9
10,9,10,0,19,19,0,0.15,True,True,False,9
11,18,10,3,15,18,0.16666667,0.15,False,False,False,0
12,17,10,2,15,17,0.11764706,0.15,False,False,False,0
13,9,10,1,18,19,0.05263158,0.15,True,True,False,9
