GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,ConfiguredPacketErrorRate,Success,TriggeredByDecodingResult,TriggeredByCompleteLoss,Rank
0,20,20,0,20,20,0,0,True,True,False,20
1,20,20,0,20,20,0,0,True,True,False,20
2,20,20,0,20,20,0,0,True,True,False,20
3,20,20,0,20,20,0,0,True,True,False,20
4,20,20,0,20,20,0,0,True,True,False,20
5,20,20,0,20,20,0,0,True,True,False,20
6,20,20,0,20,20,0,0,True,True,False,20
7,20,20,0,20,20,0,0,True,True,False,20
8,20,20,0,20,20,0,0,True,True,False,20
9,20,20,0,20,20,0,0,True,True,False,20
10,20,20,0,20,20,0,0,True,True,False,20
11,20,20,0,20,20,0,0,True,True,False,20
12,20,20,0,20,20,0,0,True,True,False,20
13,20,20,0,20,20,0,0,True,True,False,20
14,20,20,0,20,20,0,0,True,True,False,20
0,20,20,0,20,20,0,0.05,True,True,False,20
1,20,20,0,20,20,0,0.05,True,True,False,20
2,20,20,0,20,20,0,0.05,True,True,False,20
3,20,20,0,20,20,0,0.05,True,True,False,20
4,20,20,0,20,20,0,0.05,True,True,False,20
5,20,20,0,20,20,0,0.05,True,True,False,20
6,20,20,1,19,20,0.05,0.05,False,True,False,20
7,20,20,0,20,20,0,0.05,True,True,False,20
8,20,20,2,18,20,0.1,0.05,False,True,False,19
9,20,20,1,19,20,0.05,0.05,False,True,False,20
10,20,20,1,19,20,0.05,0.05,False,True,False,20
11,20,20,2,18,20,0.1,0.05,False,True,False,19
12,20,20,2,18,20,0.1,0.05,False,True,False,19
13,20,20,0,20,20,0,0.05,True,True,False,20
14,20,20,1,19,20,0.05,0.05,False,True,False,20
0,20,20,0,20,20,0,0.1,True,True,False,20
1,20,20,3,17,20,0.15,0.1,False,True,False,18
2,20,20,2,18,20,0.1,0.1,False,True,False,19
3,20,20,2,18,20,0.1,0.1,False,True,False,19
4,20,20,1,19,20,0.05,0.1,False,True,False,20
5,20,20,2,18,20,0.1,0.1,False,True,False,19
6,20,20,1,19,20,0.05,0.1,False,True,False,20
7,20,20,0,20,20,0,0.1,True,True,False,20
8,20,20,2,18,20,0.1,0.1,False,True,False,19
9,20,20,2,18,20,0.1,0.1,False,True,False,19
10,20,20,0,20,20,0,0.1,True,True,False,20
11,20,20,1,19,20,0.05,0.1,False,True,False,20
12,20,20,0,20,20,0,0.1,True,True,False,20
13,20,20,3,17,20,0.15,0.1,False,True,False,18
14,20,20,3,17,20,0.15,0.1,False,True,False,18
0,20,20,3,17,20,0.15,0.15,False,True,False,18
1,20,20,4,16,20,0.2,0.15,False,True,False,17
2,20,20,2,18,20,0.1,0.15,False,True,False,19
3,20,20,4,16,20,0.2,0.15,False,True,False,17
4,20,20,4,16,20,0.2,0.15,False,True,False,17
5,20,20,2,18,20,0.1,0.15,False,True,False,19
6,20,20,4,16,20,0.2,0.15,False,True,False,17
7,20,20,2,18,20,0.1,0.15,False,True,False,19
8,20,20,1,19,20,0.05,0.15,False,True,False,20
9,20,20,4,16,20,0.2,0.15,False,True,False,17
10,20,20,2,18,20,0.1,0.15,False,True,False,19
11,20,20,4,16,20,0.2,0.15,False,True,False,17
12,20,20,2,18,20,0.1,0.15,False,True,False,19
13,20,20,4,16,20,0.2,0.15,False,True,False,17
