PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.48,0,1,1,-18,20,False,1,1,1,True,101,101,2525019014,2592004160
0.48,0,2,2,-17,20,False,2,1,2,True,168,115,2592004160,1988683261
0.48,0,3,3,-16,20,False,3,1,3,True,53,190,1988683261,2677848701
0.48,0,4,4,-15,20,False,4,1,4,True,62,87,2677848701,263841224
0.48,0,5,5,-14,20,False,5,1,5,True,232,48,263841224,3531698935
0.48,0,6,6,-13,20,False,6,1,6,True,249,216,3531698935,515086452
0.48,0,10,10,-9,20,False,7,4,7,True,116,198,4225193153,2680931039
0.48,0,11,11,-8,20,False,8,4,8,True,184,71,2680931039,3821198068
0.48,0,13,13,-6,20,False,9,5,9,True,126,189,3333533055,3756345482
0.48,0,16,16,-3,20,False,10,7,10,True,187,245,3283420129,2109694035
0.48,0,17,17,-2,20,False,11,7,11,True,243,1,2109694035,1323037321
0.48,0,18,18,-1,20,False,12,7,12,True,181,92,1323037321,2932232616
0.48,0,19,19,0,20,False,13,7,13,True,229,145,2932232616,959586516
0.48,0,20,20,1,20,False,14,7,14,True,1,29,959586516,369227209
0.48,0,21,21,2,20,False,15,7,15,True,81,5,369227209,159028224
0.48,0,23,23,4,20,False,16,8,16,True,176,140,1188080670,3414165203
0.48,0,25,25,6,20,False,17,9,17,True,109,196,1215546913,117655301
0.48,0,30,30,11,20,False,18,13,18,True,29,31,290148888,2155938634
0.48,0,31,31,12,20,False,19,13,19,True,202,50,2155938634,3428832667
0.48,0,33,33,14,20,True,19,14,20,True,124,184,12750172,1038962027
0.48,0,34,34,15,20,True,19,14,21,True,124,184,1038962027,3472014867
0.48,0,36,36,17,20,True,19,15,22,True,124,184,410824228,516815495
0.48,1,0,40,-19,20,False,1,0,1,True,240,240,1,2525019014
0.48,1,1,41,-18,20,False,2,0,2,True,54,240,2525019014,2592004160
0.48,1,5,45,-14,20,False,3,3,3,True,178,240,263841224,3531698935
0.48,1,6,46,-13,20,False,4,3,4,True,112,242,3531698935,515086452
0.48,1,7,47,-12,20,False,5,3,5,True,37,139,515086452,1021539344
0.48,1,8,48,-11,20,False,6,3,6,True,4,86,1021539344,1534276539
0.48,1,10,50,-9,20,False,7,4,7,True,119,54,4225193153,2680931039
0.48,1,12,52,-7,20,False,8,5,8,True,149,122,3821198068,3333533055
0.48,1,13,53,-6,20,False,9,5,9,True,64,192,3333533055,3756345482
0.48,1,14,54,-5,20,False,10,5,10,True,20,182,3756345482,364380949
0.48,1,15,55,-4,20,False,11,5,11,True,207,36,364380949,3283420129
0.48,1,16,56,-3,20,False,12,5,12,True,96,46,3283420129,2109694035
0.48,1,17,57,-2,20,False,13,5,13,True,139,19,2109694035,1323037321
0.48,1,19,59,0,20,False,14,6,14,True,252,33,2932232616,959586516
0.48,1,20,60,1,20,False,15,6,15,True,107,18,959586516,369227209
0.48,1,21,61,2,20,False,16,6,16,True,9,222,369227209,159028224
