PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0,8,19,339,0,20,True,19,0,20,True,26,222,2932232616,959586516
0,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.03,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.03,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0.03,2,21,101,2,20,True,19,2,20,True,143,75,369227209,159028224
0.03,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0.03,4,21,181,2,20,True,19,2,20,True,79,38,369227209,159028224
0.03,5,20,220,1,20,True,19,1,20,True,113,181,959586516,369227209
0.03,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0.03,7,20,300,1,20,True,19,1,20,True,198,2,959586516,369227209
0.03,8,20,340,1,20,True,19,1,20,True,26,222,959586516,369227209
0.03,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0.03,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.03,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.03,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0.03,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0.03,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.06,0,22,22,3,20,True,19,3,20,True,124,184,159028224,1188080670
0.06,1,20,60,1,20,True,19,1,20,True,239,134,959586516,369227209
0.06,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0.06,3,20,140,1,20,True,19,1,20,True,28,250,959586516,369227209
0.06,4,21,181,2,20,True,19,2,20,True,79,38,369227209,159028224
0.06,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0.06,6,22,262,3,20,True,19,3,20,True,188,145,159028224,1188080670
0.06,7,20,300,1,20,True,19,1,20,True,198,2,959586516,369227209
0.06,8,21,341,2,20,True,19,2,20,True,26,222,369227209,159028224
0.06,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0.06,10,21,421,2,20,True,19,2,20,True,102,162,369227209,159028224
0.06,11,21,461,2,20,True,19,2,20,True,245,156,369227209,159028224
0.06,12,21,501,2,20,True,19,2,20,True,41,71,369227209,159028224
0.06,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0.06,14,20,580,1,20,True,19,1,20,True,221,180,959586516,369227209
0.09,0,23,23,4,20,True,19,4,20,True,124,184,1188080670,3414165203
0.09,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0.09,2,22,102,3,20,True,19,3,20,True,143,75,159028224,1188080670
0.09,3,20,140,1,20,True,19,1,20,True,28,250,959586516,369227209
0.09,4,20,180,1,20,True,19,1,20,True,79,38,959586516,369227209
0.09,5,20,220,1,20,True,19,1,20,True,113,181,959586516,369227209
0.09,6,24,264,5,20,True,19,5,20,True,188,145,3414165203,1215546913
0.09,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0.09,8,26,346,7,20,True,19,7,20,True,26,222,117655301,1694089972
0.09,9,20,380,1,20,True,19,1,20,True,137,111,959586516,369227209
0.09,10,21,421,2,20,True,19,2,20,True,102,162,369227209,159028224
0.09,11,22,462,3,20,True,19,3,20,True,245,156,159028224,1188080670
0.09,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0.09,13,23,543,4,20,True,19,4,20,True,16,212,1188080670,3414165203
0.09,14,21,581,2,20,True,19,2,20,True,221,180,369227209,159028224
0.12,0,22,22,3,20,True,19,3,20,True,124,184,159028224,1188080670
0.12,1,22,62,3,20,True,19,3,20,True,239,134,159028224,1188080670
0.12,2,21,101,2,20,True,19,2,20,True,143,75,369227209,159028224
0.12,3,20,140,1,20,True,19,1,20,True,28,250,959586516,369227209
0.12,4,25,185,6,20,True,19,5,21,True,79,38,1215546913,117655301
0.12,5,21,221,2,20,True,19,2,20,True,113,181,369227209,159028224
0.12,6,22,262,3,20,True,19,3,20,True,188,145,159028224,1188080670
0.12,7,23,303,4,20,True,19,4,20,True,198,2,1188080670,3414165203
0.12,8,22,342,3,20,True,19,3,20,True,26,222,159028224,1188080670
0.12,9,22,382,3,20,True,19,3,20,True,137,111,159028224,1188080670
0.12,10,20,420,1,20,True,19,1,20,True,102,162,959586516,369227209
0.12,11,21,461,2,20,True,19,2,20,True,245,156,369227209,159028224
0.12,12,24,504,5,20,True,19,5,20,True,41,71,3414165203,1215546913
0.12,13,23,543,4,20,True,19,4,20,True,16,212,1188080670,3414165203
0.12,14,24,584,5,20,True,19,5,20,True,221,180,3414165203,1215546913
0.15,0,22,22,3,20,True,19,3,20,True,124,184,159028224,1188080670
0.15,1,23,63,4,20,True,19,4,20,True,239,134,1188080670,3414165203
0.15,2,25,105,6,20,True,19,6,20,True,143,75,1215546913,117655301
0.15,3,22,142,3,20,True,19,3,20,True,28,250,159028224,1188080670
0.15,4,22,182,3,20,True,19,3,20,True,79,38,159028224,1188080670
0.15,5,23,223,4,20,True,19,4,20,True,113,181,1188080670,3414165203
0.15,6,21,261,2,20,True,19,2,20,True,188,145,369227209,159028224
0.15,7,21,301,2,20,True,19,2,20,True,198,2,369227209,159028224
0.15,8,21,341,2,20,True,19,2,20,True,26,222,369227209,159028224
0.15,9,22,382,3,20,True,19,3,20,True,137,111,159028224,1188080670
0.15,10,21,421,2,20,True,19,2,20,True,102,162,369227209,159028224
0.15,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0.15,12,25,505,6,20,True,19,6,20,True,41,71,1215546913,117655301
0.15,13,23,543,4,20,True,19,4,20,True,16,212,1188080670,3414165203
0.15,14,24,584,5,20,True,19,5,20,True,221,180,3414165203,1215546913
0.18,0,25,25,6,20,True,19,6,20,True,124,184,1215546913,117655301
0.18,1,24,64,5,20,True,19,5,20,True,239,134,3414165203,1215546913
0.18,2,31,111,12,20,True,19,12,20,True,143,75,2155938634,3428832667
0.18,3,21,141,2,20,True,19,2,20,True,28,250,369227209,159028224
0.18,4,21,181,2,20,True,19,2,20,True,79,38,369227209,159028224
0.18,5,25,225,6,20,True,19,6,20,True,113,181,1215546913,117655301
0.18,6,26,266,7,20,True,19,7,20,True,188,145,117655301,1694089972
0.18,7,24,304,5,20,True,19,5,20,True,198,2,3414165203,1215546913
0.18,8,23,343,4,20,True,19,4,20,True,26,222,1188080670,3414165203
0.18,9,22,382,3,20,True,19,3,20,True,137,111,159028224,1188080670
0.18,10,22,422,3,20,True,19,3,20,True,102,162,159028224,1188080670
0.18,11,28,468,9,20,True,19,9,20,True,245,156,1927849080,881403043
0.18,12,26,506,7,20,True,19,7,20,True,41,71,117655301,1694089972
0.18,13,22,542,3,20,True,19,3,20,True,16,212,159028224,1188080670
0.18,14,27,587,8,20,True,19,8,20,True,221,180,1694089972,1927849080
0.21,0,23,23,4,20,True,19,4,20,True,124,184,1188080670,3414165203
0.21,1,21,61,2,20,True,19,2,20,True,239,134,369227209,159028224
0.21,2,27,107,8,20,True,19,8,20,True,143,75,1694089972,1927849080
0.21,3,29,149,10,20,True,19,10,20,True,28,250,881403043,290148888
0.21,4,21,181,2,20,True,19,2,20,True,79,38,369227209,159028224
0.21,5,26,226,7,20,True,19,7,20,True,113,181,117655301,1694089972
0.21,6,20,260,1,20,True,19,1,20,True,188,145,959586516,369227209
0.21,7,25,305,6,20,True,19,6,20,True,198,2,1215546913,117655301
0.21,8,23,343,4,20,True,19,4,20,True,26,222,1188080670,3414165203
0.21,9,26,386,7,20,True,19,7,20,True,137,111,117655301,1694089972
0.21,10,25,425,6,20,True,19,6,20,True,102,162,1215546913,117655301
0.21,11,25,465,6,20,True,19,6,20,True,245,156,1215546913,117655301
0.21,12,23,503,4,20,True,19,4,20,True,41,71,1188080670,3414165203
0.21,13,22,542,3,20,True,19,3,20,True,16,212,159028224,1188080670
0.21,14,24,584,5,20,True,19,5,20,True,221,180,3414165203,1215546913
0.24,0,28,28,9,20,True,19,9,20,True,124,184,1927849080,881403043
0.24,1,27,67,8,20,True,19,8,20,True,239,134,1694089972,1927849080
0.24,2,25,105,6,20,True,19,6,20,True,143,75,1215546913,117655301
0.24,3,27,147,8,20,True,19,8,20,True,28,250,1694089972,1927849080
0.24,4,24,184,5,20,True,19,5,20,True,79,38,3414165203,1215546913
0.24,5,26,226,7,20,True,19,7,20,True,113,181,117655301,1694089972
0.24,6,25,265,6,20,True,19,6,20,True,188,145,1215546913,117655301
0.24,7,25,305,6,20,True,19,6,20,True,198,2,1215546913,117655301
0.24,8,26,346,7,20,True,19,7,20,True,26,222,117655301,1694089972
0.24,9,34,394,15,20,True,19,15,20,True,137,111,1038962027,3472014867
0.24,10,22,422,3,20,True,19,3,20,True,102,162,159028224,1188080670
0.24,11,24,464,5,20,True,19,5,20,True,245,156,3414165203,1215546913
0.24,12,24,504,5,20,True,19,5,20,True,41,71,3414165203,1215546913
0.24,13,23,543,4,20,True,19,4,20,True,16,212,1188080670,3414165203
0.24,14,23,583,4,20,True,19,4,20,True,221,180,1188080670,3414165203
0.27,0,23,23,4,20,True,19,4,20,True,124,184,1188080670,3414165203
0.27,1,26,66,7,20,True,19,7,20,True,239,134,117655301,1694089972
0.27,2,24,104,5,20,True,19,5,20,True,143,75,3414165203,1215546913
0.27,3,28,148,9,20,True,19,9,20,True,28,250,1927849080,881403043
0.27,4,24,184,5,20,True,19,5,20,True,79,38,3414165203,1215546913
0.27,5,28,228,9,20,True,19,9,20,True,113,181,1927849080,881403043
0.27,6,31,271,12,20,True,19,12,20,True,188,145,2155938634,3428832667
0.27,7,27,307,8,20,True,19,8,20,True,198,2,1694089972,1927849080
0.27,8,27,347,8,20,True,19,8,20,True,26,222,1694089972,1927849080
0.27,9,27,387,8,20,True,19,8,20,True,137,111,1694089972,1927849080
0.27,10,26,426,7,20,True,19,7,20,True,102,162,117655301,1694089972
0.27,11,25,465,6,20,True,19,6,20,True,245,156,1215546913,117655301
0.27,12,28,508,9,20,True,19,9,20,True,41,71,1927849080,881403043
0.27,13,31,551,12,20,True,19,12,20,True,16,212,2155938634,3428832667
0.27,14,25,585,6,20,True,19,6,20,True,221,180,1215546913,117655301
0.3,0,31,31,12,20,True,19,12,20,True,124,184,2155938634,3428832667
0.3,1,27,67,8,20,True,19,8,20,True,239,134,1694089972,1927849080
0.3,2,29,109,10,20,True,19,10,20,True,143,75,881403043,290148888
0.3,3,26,146,7,20,True,19,7,20,True,28,250,117655301,1694089972
0.3,4,24,184,5,20,True,19,5,20,True,79,38,3414165203,1215546913
0.3,5,22,222,3,20,True,19,3,20,True,113,181,159028224,1188080670
0.3,6,34,274,15,20,True,19,15,20,True,188,145,1038962027,3472014867
