PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0,8,19,339,0,20,True,19,0,20,True,26,222,2932232616,959586516
0,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.01,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.01,1,21,61,2,20,True,19,2,20,True,239,134,369227209,159028224
0.01,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0.01,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0.01,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.01,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0.01,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0.01,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0.01,8,19,339,0,20,True,19,0,20,True,26,222,2932232616,959586516
0.01,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0.01,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.01,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0.01,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0.01,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0.01,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.02,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.02,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0.02,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0.02,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0.02,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.02,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0.02,6,20,260,1,20,True,19,1,20,True,188,145,959586516,369227209
0.02,7,19,299,0,20,True,19,0,20,True,198,2,2932232616,959586516
0.02,8,20,340,1,20,True,19,1,20,True,26,222,959586516,369227209
0.02,9,19,379,0,20,True,19,0,20,True,137,111,2932232616,959586516
0.02,10,20,420,1,20,True,19,1,20,True,102,162,959586516,369227209
0.02,11,19,459,0,20,True,19,0,20,True,245,156,2932232616,959586516
0.02,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0.02,13,20,540,1,20,True,19,1,20,True,16,212,959586516,369227209
0.02,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.03,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.03,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0.03,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0.03,3,20,140,1,20,True,19,1,20,True,28,250,959586516,369227209
0.03,4,19,179,0,20,True,19,0,20,True,79,38,2932232616,959586516
0.03,5,20,220,1,20,True,19,1,20,True,113,181,959586516,369227209
0.03,6,20,260,1,20,True,19,1,20,True,188,145,959586516,369227209
0.03,7,20,300,1,20,True,19,1,20,True,198,2,959586516,369227209
0.03,8,20,340,1,20,True,19,1,20,True,26,222,959586516,369227209
0.03,9,20,380,1,20,True,19,1,20,True,137,111,959586516,369227209
0.03,10,20,420,1,20,True,19,1,20,True,102,162,959586516,369227209
0.03,11,21,461,2,20,True,19,2,20,True,245,156,369227209,159028224
0.03,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0.03,13,19,539,0,20,True,19,0,20,True,16,212,2932232616,959586516
0.03,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.04,0,20,20,1,20,True,19,1,20,True,124,184,959586516,369227209
0.04,1,20,60,1,20,True,19,1,20,True,239,134,959586516,369227209
0.04,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0.04,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0.04,4,20,180,1,20,True,19,1,20,True,79,38,959586516,369227209
0.04,5,20,220,1,20,True,19,1,20,True,113,181,959586516,369227209
0.04,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0.04,7,20,300,1,20,True,19,1,20,True,198,2,959586516,369227209
0.04,8,22,342,3,20,True,19,3,20,True,26,222,159028224,1188080670
0.04,9,21,381,2,20,True,19,2,20,True,137,111,369227209,159028224
0.04,10,20,420,1,20,True,19,1,20,True,102,162,959586516,369227209
0.04,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.04,12,20,500,1,20,True,19,1,20,True,41,71,959586516,369227209
0.04,13,21,541,2,20,True,19,2,20,True,16,212,369227209,159028224
0.04,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.05,0,20,20,1,20,True,19,1,20,True,124,184,959586516,369227209
0.05,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0.05,2,22,102,3,20,True,19,3,20,True,143,75,159028224,1188080670
0.05,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0.05,4,20,180,1,20,True,19,1,20,True,79,38,959586516,369227209
0.05,5,21,221,2,20,True,19,2,20,True,113,181,369227209,159028224
0.05,6,20,260,1,20,True,19,1,20,True,188,145,959586516,369227209
0.05,7,21,301,2,20,True,19,2,20,True,198,2,369227209,159028224
0.05,8,19,339,0,20,True,19,0,20,True,26,222,2932232616,959586516
0.05,9,21,381,2,20,True,19,2,20,True,137,111,369227209,159028224
0.05,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.05,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.05,12,20,500,1,20,True,19,1,20,True,41,71,959586516,369227209
0.05,13,21,541,2,20,True,19,2,20,True,16,212,369227209,159028224
0.05,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.06,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.06,1,22,62,3,20,True,19,3,20,True,239,134,159028224,1188080670
0.06,2,21,101,2,20,True,19,2,20,True,143,75,369227209,159028224
0.06,3,19,139,0,20,True,19,0,20,True,28,250,2932232616,959586516
0.06,4,21,181,2,20,True,19,2,20,True,79,38,369227209,159028224
0.06,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0.06,6,21,261,2,20,True,19,2,20,True,188,145,369227209,159028224
0.06,7,21,301,2,20,True,19,2,20,True,198,2,369227209,159028224
0.06,8,21,341,2,20,True,19,2,20,True,26,222,369227209,159028224
0.06,9,22,382,3,20,True,19,3,20,True,137,111,159028224,1188080670
0.06,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.06,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.06,12,19,499,0,20,True,19,0,20,True,41,71,2932232616,959586516
0.06,13,22,542,3,20,True,19,3,20,True,16,212,159028224,1188080670
0.06,14,20,580,1,20,True,19,1,20,True,221,180,959586516,369227209
0.07,0,19,19,0,20,True,19,0,20,True,124,184,2932232616,959586516
0.07,1,23,63,4,20,True,19,4,20,True,239,134,1188080670,3414165203
0.07,2,22,102,3,20,True,19,3,20,True,143,75,159028224,1188080670
0.07,3,24,144,5,20,True,19,5,20,True,28,250,3414165203,1215546913
0.07,4,22,182,3,20,True,19,3,20,True,79,38,159028224,1188080670
0.07,5,19,219,0,20,True,19,0,20,True,113,181,2932232616,959586516
0.07,6,19,259,0,20,True,19,0,20,True,188,145,2932232616,959586516
0.07,7,20,300,1,20,True,19,1,20,True,198,2,959586516,369227209
0.07,8,23,343,4,20,True,19,4,20,True,26,222,1188080670,3414165203
0.07,9,21,381,2,20,True,19,2,20,True,137,111,369227209,159028224
0.07,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.07,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.07,12,20,500,1,20,True,19,1,20,True,41,71,959586516,369227209
0.07,13,21,541,2,20,True,19,2,20,True,16,212,369227209,159028224
0.07,14,20,580,1,20,True,19,1,20,True,221,180,959586516,369227209
0.08,0,22,22,3,20,True,19,3,20,True,124,184,159028224,1188080670
0.08,1,21,61,2,20,True,19,2,20,True,239,134,369227209,159028224
0.08,2,20,100,1,20,True,19,1,20,True,143,75,959586516,369227209
0.08,3,21,141,2,20,True,19,2,20,True,28,250,369227209,159028224
0.08,4,22,182,3,20,True,19,3,20,True,79,38,159028224,1188080670
0.08,5,20,220,1,20,True,19,1,20,True,113,181,959586516,369227209
0.08,6,21,261,2,20,True,19,2,20,True,188,145,369227209,159028224
0.08,7,23,303,4,20,True,19,4,20,True,198,2,1188080670,3414165203
0.08,8,20,340,1,20,True,19,1,20,True,26,222,959586516,369227209
0.08,9,21,381,2,20,True,19,2,20,True,137,111,369227209,159028224
0.08,10,21,421,2,20,True,19,2,20,True,102,162,369227209,159028224
0.08,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.08,12,20,500,1,20,True,19,1,20,True,41,71,959586516,369227209
0.08,13,20,540,1,20,True,19,1,20,True,16,212,959586516,369227209
0.08,14,21,581,2,20,True,19,2,20,True,221,180,369227209,159028224
0.09,0,22,22,3,20,True,19,3,20,True,124,184,159028224,1188080670
0.09,1,19,59,0,20,True,19,0,20,True,239,134,2932232616,959586516
0.09,2,22,102,3,20,True,19,3,20,True,143,75,159028224,1188080670
0.09,3,20,140,1,20,True,19,1,20,True,28,250,959586516,369227209
0.09,4,22,182,3,20,True,19,3,20,True,79,38,159028224,1188080670
0.09,5,20,220,1,20,True,19,1,20,True,113,181,959586516,369227209
0.09,6,21,261,2,20,True,19,2,20,True,188,145,369227209,159028224
0.09,7,21,301,2,20,True,19,2,20,True,198,2,369227209,159028224
0.09,8,19,339,0,20,True,19,0,20,True,26,222,2932232616,959586516
0.09,9,24,384,5,20,True,19,5,20,True,137,111,3414165203,1215546913
0.09,10,19,419,0,20,True,19,0,20,True,102,162,2932232616,959586516
0.09,11,20,460,1,20,True,19,1,20,True,245,156,959586516,369227209
0.09,12,21,501,2,20,True,19,2,20,True,41,71,369227209,159028224
0.09,13,22,542,3,20,True,19,3,20,True,16,212,159028224,1188080670
0.09,14,19,579,0,20,True,19,0,20,True,221,180,2932232616,959586516
0.1,0,21,21,2,20,True,19,2,20,True,124,184,369227209,159028224
0.1,1,24,64,5,20,True,19,5,20,True,239,134,3414165203,1215546913
0.1,2,19,99,0,20,True,19,0,20,True,143,75,2932232616,959586516
0.1,3,22,142,3,20,True,19,3,20,True,28,250,159028224,1188080670
0.1,4,24,184,5,20,True,19,5,20,True,79,38,3414165203,1215546913
0.1,5,23,223,4,20,True,19,4,20,True,113,181,1188080670,3414165203
0.1,6,20,260,1,20,True,19,1,20,True,188,145,959586516,369227209
0.1,7,24,304,5,20,True,19,5,20,True,198,2,3414165203,1215546913
0.1,8,23,343,4,20,True,19,4,20,True,26,222,1188080670,3414165203
