PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.37,0,1,1,-18,20,False,1,1,1,True,101,101,2525019014,2592004160
0.37,0,2,2,-17,20,False,2,1,2,True,168,115,2592004160,1988683261
0.37,0,6,6,-13,20,False,3,4,3,True,12,110,3531698935,515086452
0.37,0,7,7,-12,20,False,4,4,4,True,124,207,515086452,1021539344
0.37,0,9,9,-10,20,False,5,5,5,True,199,91,1534276539,4225193153
0.37,0,10,10,-9,20,False,6,5,6,True,32,8,4225193153,2680931039
0.37,0,13,13,-6,20,False,7,7,7,True,74,157,3333533055,3756345482
0.37,0,14,14,-5,20,False,8,7,8,True,154,230,3756345482,364380949
0.37,0,16,16,-3,20,False,9,8,9,True,129,235,3283420129,2109694035
0.37,0,18,18,-1,20,False,10,9,10,True,21,154,1323037321,2932232616
0.37,0,19,19,0,20,False,11,9,11,True,248,125,2932232616,959586516
0.37,0,20,20,1,20,False,12,9,12,True,62,251,959586516,369227209
0.37,0,21,21,2,20,False,13,9,13,True,33,245,369227209,159028224
0.37,0,23,23,4,20,False,14,10,14,True,170,117,1188080670,3414165203
0.37,0,24,24,5,20,False,15,10,15,True,43,136,3414165203,1215546913
0.37,0,25,25,6,20,False,16,10,16,True,238,216,1215546913,117655301
0.37,0,27,27,8,20,False,17,11,17,True,65,237,1694089972,1927849080
0.37,0,28,28,9,20,False,18,11,18,True,252,117,1927849080,881403043
0.37,0,29,29,10,20,False,19,11,19,True,44,216,881403043,290148888
0.37,0,30,30,11,20,True,19,11,20,True,124,184,290148888,2155938634
0.37,0,32,32,13,20,True,19,12,21,True,124,184,3428832667,12750172
0.37,0,33,33,14,20,True,19,12,22,True,124,184,12750172,1038962027
0.37,0,34,34,15,20,True,19,12,23,True,124,184,1038962027,3472014867
0.37,0,36,36,17,20,True,19,13,24,True,124,184,410824228,516815495
0.37,0,37,37,18,20,True,19,13,25,True,124,184,516815495,390411510
0.37,0,38,38,19,20,True,19,13,26,True,124,184,390411510,215561586
0.37,1,0,40,-19,20,False,1,0,1,True,240,240,1,2525019014
0.37,1,1,41,-18,20,False,2,0,2,True,54,240,2525019014,2592004160
0.37,1,2,42,-17,20,False,3,0,3,True,184,240,2592004160,1988683261
0.37,1,4,44,-15,20,False,4,1,4,True,198,147,2677848701,263841224
0.37,1,5,45,-14,20,False,5,1,5,True,15,242,263841224,3531698935
0.37,1,6,46,-13,20,False,6,1,6,True,8,225,3531698935,515086452
0.37,1,10,50,-9,20,False,7,4,7,True,221,178,4225193153,2680931039
0.37,1,14,54,-5,20,False,8,7,8,True,196,74,3756345482,364380949
0.37,1,15,55,-4,20,False,9,7,9,True,164,32,364380949,3283420129
0.37,1,16,56,-3,20,False,10,7,10,True,209,208,3283420129,2109694035
0.37,1,17,57,-2,20,False,11,7,11,True,238,51,2109694035,1323037321
0.37,1,18,58,-1,20,False,12,7,12,True,30,203,1323037321,2932232616
0.37,1,21,61,2,20,False,13,9,13,True,7,39,369227209,159028224
0.37,1,24,64,5,20,False,14,11,14,True,39,232,3414165203,1215546913
0.37,1,26,66,7,20,False,15,12,15,True,42,219,117655301,1694089972
0.37,1,30,70,11,20,False,16,15,16,True,142,241,290148888,2155938634
0.37,1,32,72,13,20,False,17,16,17,True,74,172,3428832667,12750172
0.37,1,34,74,15,20,False,18,17,18,True,126,158,1038962027,3472014867
0.37,1,37,77,18,20,False,19,19,19,True,47,88,516815495,390411510
0.37,1,39,79,20,20,True,19,20,20,True,239,134,215561586,563019712
0.37,2,0,80,-19,20,False,1,0,1,True,21,21,1,2525019014
0.37,2,5,85,-14,20,False,2,4,2,True,61,21,263841224,3531698935
0.37,2,6,86,-13,20,False,3,4,3,True,221,21,3531698935,515086452
0.37,2,7,87,-12,20,False,4,4,4,True,91,201,515086452,1021539344
0.37,2,9,89,-10,20,False,5,5,5,True,200,83,1534276539,4225193153
0.37,2,10,90,-9,20,False,6,5,6,True,167,98,4225193153,2680931039
0.37,2,11,91,-8,20,False,7,5,7,True,184,106,2680931039,3821198068
0.37,2,13,93,-6,20,False,8,6,8,True,63,251,3333533055,3756345482
0.37,2,14,94,-5,20,False,9,6,9,True,131,24,3756345482,364380949
0.37,2,15,95,-4,20,False,10,6,10,True,88,53,364380949,3283420129
0.37,2,16,96,-3,20,False,11,6,11,True,149,242,3283420129,2109694035
0.37,2,18,98,-1,20,False,12,7,12,True,147,43,1323037321,2932232616
0.37,2,19,99,0,20,False,13,7,13,True,100,184,2932232616,959586516
0.37,2,25,105,6,20,False,14,12,14,True,121,244,1215546913,117655301
0.37,2,26,106,7,20,False,15,12,15,True,123,23,117655301,1694089972
0.37,2,28,108,9,20,False,16,13,16,True,42,96,1927849080,881403043
0.37,2,29,109,10,20,False,17,13,17,True,108,58,881403043,290148888
0.37,2,30,110,11,20,False,18,13,18,True,144,140,290148888,2155938634
0.37,2,31,111,12,20,False,19,13,19,True,161,34,2155938634,3428832667
0.37,2,33,113,14,20,True,19,14,20,True,143,75,12750172,1038962027
0.37,2,34,114,15,20,True,19,14,21,True,143,75,1038962027,3472014867
0.37,2,37,117,18,20,True,19,16,22,True,143,75,516815495,390411510
0.37,2,38,118,19,20,True,19,16,23,True,143,75,390411510,215561586
0.37,3,0,120,-19,20,False,1,0,1,True,142,142,1,2525019014
0.37,3,1,121,-18,20,False,2,0,2,True,84,142,2525019014,2592004160
0.37,3,2,122,-17,20,False,3,0,3,True,159,142,2592004160,1988683261
0.37,3,3,123,-16,20,False,4,0,4,True,204,25,1988683261,2677848701
0.37,3,4,124,-15,20,False,5,0,5,True,183,242,2677848701,263841224
0.37,3,5,125,-14,20,False,6,0,6,True,15,33,263841224,3531698935
0.37,3,6,126,-13,20,False,7,0,7,True,12,255,3531698935,515086452
0.37,3,7,127,-12,20,False,8,0,8,True,155,253,515086452,1021539344
0.37,3,9,129,-10,20,False,9,1,9,True,102,196,1534276539,4225193153
0.37,3,10,130,-9,20,False,10,1,10,True,174,69,4225193153,2680931039
0.37,3,12,132,-7,20,False,11,2,11,True,210,136,3821198068,3333533055
0.37,3,13,133,-6,20,False,12,2,12,True,199,80,3333533055,3756345482
0.37,3,15,135,-4,20,False,13,3,13,True,65,138,364380949,3283420129
0.37,3,16,136,-3,20,False,14,3,14,True,83,110,3283420129,2109694035
0.37,3,17,137,-2,20,False,15,3,15,True,200,253,2109694035,1323037321
0.37,3,18,138,-1,20,False,16,3,16,True,169,1,1323037321,2932232616
0.37,3,21,141,2,20,False,17,5,17,True,210,20,369227209,159028224
0.37,3,22,142,3,20,False,18,5,18,True,246,126,159028224,1188080670
0.37,3,24,144,5,20,False,19,6,19,True,17,19,3414165203,1215546913
0.37,3,25,145,6,20,True,19,6,20,True,28,250,1215546913,117655301
0.37,3,26,146,7,20,True,19,6,21,True,28,250,117655301,1694089972
0.37,3,27,147,8,20,True,19,6,22,True,28,250,1694089972,1927849080
0.37,3,30,150,11,20,True,19,8,23,True,28,250,290148888,2155938634
0.37,3,32,152,13,20,True,19,9,24,True,28,250,3428832667,12750172
0.37,3,33,153,14,20,True,19,9,25,True,28,250,12750172,1038962027
0.37,3,35,155,16,20,True,19,10,26,True,28,250,3472014867,410824228
0.37,3,37,157,18,20,True,19,11,27,True,28,250,516815495,390411510
0.37,3,38,158,19,20,True,19,11,28,True,28,250,390411510,215561586
0.37,4,1,161,-18,20,False,1,1,1,True,52,52,2525019014,2592004160
0.37,4,2,162,-17,20,False,2,1,2,True,251,103,2592004160,1988683261
0.37,4,3,163,-16,20,False,3,1,3,True,245,126,1988683261,2677848701
0.37,4,6,166,-13,20,False,4,3,4,True,236,82,3531698935,515086452
0.37,4,7,167,-12,20,False,5,3,5,True,249,188,515086452,1021539344
0.37,4,8,168,-11,20,False,6,3,6,True,66,170,1021539344,1534276539
0.37,4,9,169,-10,20,False,7,3,7,True,9,32,1534276539,4225193153
0.37,4,10,170,-9,20,False,8,3,8,True,104,39,4225193153,2680931039
0.37,4,11,171,-8,20,False,9,3,9,True,56,54,2680931039,3821198068
0.37,4,12,172,-7,20,False,10,3,10,True,214,173,3821198068,3333533055
0.37,4,13,173,-6,20,False,11,3,11,True,158,201,3333533055,3756345482
0.37,4,14,174,-5,20,False,12,3,12,True,53,222,3756345482,364380949
0.37,4,15,175,-4,20,False,13,3,13,True,93,112,364380949,3283420129
0.37,4,16,176,-3,20,False,14,3,14,True,151,164,3283420129,2109694035
0.37,4,17,177,-2,20,False,15,3,15,True,183,179,2109694035,1323037321
0.37,4,18,178,-1,20,False,16,3,16,True,249,146,1323037321,2932232616
0.37,4,19,179,0,20,False,17,3,17,True,15,242,2932232616,959586516
0.37,4,21,181,2,20,False,18,4,18,True,226,66,369227209,159028224
0.37,4,22,182,3,20,False,19,4,19,True,125,40,159028224,1188080670
0.37,4,24,184,5,20,True,19,5,20,True,79,38,3414165203,1215546913
0.37,4,26,186,7,20,True,19,6,21,True,79,38,117655301,1694089972
0.37,4,29,189,10,20,True,19,8,22,True,79,38,881403043,290148888
0.37,4,30,190,11,20,True,19,8,23,True,79,38,290148888,2155938634
0.37,4,31,191,12,20,True,19,8,24,True,79,38,2155938634,3428832667
0.37,4,34,194,15,20,True,19,10,25,True,79,38,1038962027,3472014867
0.37,4,37,197,18,20,True,19,12,26,True,79,38,516815495,390411510
0.37,4,38,198,19,20,True,19,12,27,True,79,38,390411510,215561586
0.37,5,1,201,-18,20,False,1,1,1,True,127,127,2525019014,2592004160
0.37,5,2,202,-17,20,False,2,1,2,True,166,234,2592004160,1988683261
0.37,5,4,204,-15,20,False,3,2,3,True,17,77,2677848701,263841224
0.37,5,6,206,-13,20,False,4,3,4,True,43,7,3531698935,515086452
0.37,5,8,208,-11,20,False,5,4,5,True,101,60,1021539344,1534276539
0.37,5,9,209,-10,20,False,6,4,6,True,99,107,1534276539,4225193153
0.37,5,10,210,-9,20,False,7,4,7,True,117,15,4225193153,2680931039
0.37,5,11,211,-8,20,False,8,4,8,True,116,210,2680931039,3821198068
0.37,5,12,212,-7,20,False,9,4,9,True,66,17,3821198068,3333533055
0.37,5,13,213,-6,20,False,10,4,10,True,240,97,3333533055,3756345482
0.37,5,14,214,-5,20,False,11,4,11,True,169,173,3756345482,364380949
0.37,5,17,217,-2,20,False,12,6,12,True,71,92,2109694035,1323037321
0.37,5,19,219,0,20,False,13,7,13,True,8,172,2932232616,959586516
0.37,5,21,221,2,20,False,14,8,14,True,33,17,369227209,159028224
0.37,5,22,222,3,20,False,15,8,15,True,184,163,159028224,1188080670
0.37,5,23,223,4,20,False,16,8,16,True,131,198,1188080670,3414165203
0.37,5,25,225,6,20,False,17,9,17,True,126,18,1215546913,117655301
0.37,5,26,226,7,20,False,18,9,18,True,189,8,117655301,1694089972
0.37,5,27,227,8,20,False,19,9,19,True,212,184,1694089972,1927849080
0.37,5,28,228,9,20,True,19,9,20,True,113,181,1927849080,881403043
0.37,5,30,230,11,20,True,19,10,21,True,113,181,290148888,2155938634
0.37,5,32,232,13,20,True,19,11,22,True,113,181,3428832667,12750172
0.37,5,33,233,14,20,True,19,11,23,True,113,181,12750172,1038962027
0.37,5,34,234,15,20,True,19,11,24,True,113,181,1038962027,3472014867
0.37,5,35,235,16,20,True,19,11,25,True,113,181,3472014867,410824228
0.37,5,36,236,17,20,True,19,11,26,True,113,181,410824228,516815495
0.37,5,37,237,18,20,True,19,11,27,True,113,181,516815495,390411510
0.37,6,0,240,-19,20,False,1,0,1,True,29,29,1,2525019014
0.37,6,1,241,-18,20,False,2,0,2,True,40,29,2525019014,2592004160
0.37,6,2,242,-17,20,False,3,0,3,True,251,29,2592004160,1988683261
0.37,6,4,244,-15,20,False,4,1,4,True,219,154,2677848701,263841224
0.37,6,7,247,-12,20,False,5,3,5,True,131,105,515086452,1021539344
0.37,6,8,248,-11,20,False,6,3,6,True,67,230,1021539344,1534276539
0.37,6,9,249,-10,20,False,7,3,7,True,123,46,1534276539,4225193153
0.37,6,10,250,-9,20,False,8,3,8,True,161,7,4225193153,2680931039
0.37,6,11,251,-8,20,False,9,3,9,True,130,133,2680931039,3821198068
0.37,6,12,252,-7,20,False,10,3,10,True,116,60,3821198068,3333533055
0.37,6,13,253,-6,20,False,11,3,11,True,81,193,3333533055,3756345482
0.37,6,15,255,-4,20,False,12,4,12,True,172,116,364380949,3283420129
0.37,6,16,256,-3,20,False,13,4,13,True,82,65,3283420129,2109694035
0.37,6,17,257,-2,20,False,14,4,14,True,186,172,2109694035,1323037321
0.37,6,18,258,-1,20,False,15,4,15,True,186,89,1323037321,2932232616
0.37,6,19,259,0,20,False,16,4,16,True,123,203,2932232616,959586516
0.37,6,20,260,1,20,False,17,4,17,True,105,2,959586516,369227209
0.37,6,21,261,2,20,False,18,4,18,True,165,78,369227209,159028224
0.37,6,24,264,5,20,False,19,6,19,True,5,181,3414165203,1215546913
0.37,6,27,267,8,20,True,19,8,20,True,188,145,1694089972,1927849080
0.37,6,28,268,9,20,True,19,8,21,True,188,145,1927849080,881403043
0.37,6,29,269,10,20,True,19,8,22,True,188,145,881403043,290148888
0.37,6,30,270,11,20,True,19,8,23,True,188,145,290148888,2155938634
0.37,6,33,273,14,20,True,19,10,24,True,188,145,12750172,1038962027
0.37,6,34,274,15,20,True,19,10,25,True,188,145,1038962027,3472014867
