PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.75,0,5,5,-14,20,False,1,5,1,True,133,133,263841224,3531698935
0.75,0,6,6,-13,20,False,2,5,2,True,192,175,3531698935,515086452
0.75,0,17,17,-2,20,False,3,15,3,True,188,148,2109694035,1323037321
0.75,0,25,25,6,20,False,4,22,4,True,250,189,1215546913,117655301
0.75,0,26,26,7,20,False,5,22,5,True,60,97,117655301,1694089972
0.75,0,28,28,9,20,False,6,23,6,True,44,81,1927849080,881403043
0.75,0,31,31,12,20,False,7,25,7,True,91,222,2155938634,3428832667
0.75,0,33,33,14,20,False,8,26,8,True,148,189,12750172,1038962027
0.75,0,35,35,16,20,False,9,27,9,True,220,42,3472014867,410824228
0.75,0,37,37,18,20,False,10,28,10,True,160,247,516815495,390411510
0.75,1,0,40,-19,20,False,1,0,1,True,240,240,1,2525019014
0.75,1,5,45,-14,20,False,2,4,2,True,121,240,263841224,3531698935
0.75,1,9,49,-10,20,False,3,7,3,True,203,240,1534276539,4225193153
0.75,1,18,58,-1,20,False,4,15,4,True,122,253,1323037321,2932232616
0.75,1,24,64,5,20,False,5,20,5,True,55,166,3414165203,1215546913
0.75,1,25,65,6,20,False,6,20,6,True,116,49,1215546913,117655301
0.75,1,26,66,7,20,False,7,20,7,True,121,168,117655301,1694089972
0.75,1,32,72,13,20,False,8,25,8,True,239,36,3428832667,12750172
0.75,2,8,88,-11,20,False,1,8,1,True,249,249,1021539344,1534276539
0.75,2,19,99,0,20,False,2,18,2,True,241,122,2932232616,959586516
0.75,2,28,108,9,20,False,3,26,3,True,223,136,1927849080,881403043
0.75,2,30,110,11,20,False,4,27,4,True,251,197,290148888,2155938634
0.75,2,34,114,15,20,False,5,30,5,True,60,255,1038962027,3472014867
0.75,2,35,115,16,20,False,6,30,6,True,91,39,3472014867,410824228
0.75,2,37,117,18,20,False,7,31,7,True,35,11,516815495,390411510
0.75,3,8,128,-11,20,False,1,8,1,True,208,208,1021539344,1534276539
0.75,3,9,129,-10,20,False,2,8,2,True,186,11,1534276539,4225193153
0.75,3,14,134,-5,20,False,3,12,3,True,183,22,3756345482,364380949
0.75,3,15,135,-4,20,False,4,12,4,True,86,61,364380949,3283420129
0.75,3,19,139,0,20,False,5,15,5,True,184,255,2932232616,959586516
0.75,3,20,140,1,20,False,6,15,6,True,71,141,959586516,369227209
0.75,3,27,147,8,20,False,7,21,7,True,83,229,1694089972,1927849080
0.75,3,32,152,13,20,False,8,25,8,True,135,242,3428832667,12750172
0.75,3,37,157,18,20,False,9,29,9,True,214,255,516815495,390411510
0.75,3,38,158,19,20,False,10,29,10,True,194,249,390411510,215561586
0.75,3,39,159,20,20,False,11,29,11,True,212,220,215561586,563019712
0.75,4,1,161,-18,20,False,1,1,1,True,52,52,2525019014,2592004160
0.75,4,4,164,-15,20,False,2,3,2,True,190,251,2677848701,263841224
0.75,4,19,179,0,20,False,3,17,3,True,224,75,2932232616,959586516
0.75,4,22,182,3,20,False,4,19,4,True,195,143,159028224,1188080670
0.75,4,23,183,4,20,False,5,19,5,True,223,31,1188080670,3414165203
0.75,4,24,184,5,20,False,6,19,6,True,87,159,3414165203,1215546913
0.75,4,26,186,7,20,False,7,20,7,True,103,237,117655301,1694089972
0.75,5,4,204,-15,20,False,1,4,1,True,8,8,2677848701,263841224
0.75,5,12,212,-7,20,False,2,11,2,True,4,101,3821198068,3333533055
0.75,5,13,213,-6,20,False,3,11,3,True,184,66,3333533055,3756345482
0.75,5,24,224,5,20,False,4,21,4,True,53,213,3414165203,1215546913
0.75,5,26,226,7,20,False,5,22,5,True,250,5,117655301,1694089972
0.75,5,35,235,16,20,False,6,30,6,True,146,214,3472014867,410824228
0.75,6,1,241,-18,20,False,1,1,1,True,247,247,2525019014,2592004160
0.75,6,3,243,-16,20,False,2,2,2,True,221,73,1988683261,2677848701
0.75,6,5,245,-14,20,False,3,3,3,True,247,7,263841224,3531698935
0.75,6,9,249,-10,20,False,4,6,4,True,129,183,1534276539,4225193153
0.75,6,17,257,-2,20,False,5,13,5,True,250,40,2109694035,1323037321
0.75,6,22,262,3,20,False,6,17,6,True,253,110,159028224,1188080670
0.75,6,25,265,6,20,False,7,19,7,True,84,229,1215546913,117655301
0.75,6,26,266,7,20,False,8,19,8,True,121,240,117655301,1694089972
0.75,6,27,267,8,20,False,9,19,9,True,54,70,1694089972,1927849080
0.75,6,31,271,12,20,False,10,22,10,True,135,27,2155938634,3428832667
0.75,6,32,272,13,20,False,11,22,11,True,146,41,3428832667,12750172
0.75,6,34,274,15,20,False,12,23,12,True,107,229,1038962027,3472014867
0.75,6,36,276,17,20,False,13,24,13,True,67,232,410824228,516815495
0.75,7,16,296,-3,20,False,1,16,1,True,160,160,3283420129,2109694035
0.75,7,17,297,-2,20,False,2,16,2,True,75,160,2109694035,1323037321
