PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.2,0,0,0,-19,60,False,1,0,1,True,216,216,1,2525019014
0.2,0,1,1,-18,60,False,2,0,2,True,57,216,2525019014,2592004160
0.2,0,2,2,-17,60,False,3,0,3,True,61,216,2592004160,1988683261
0.2,0,3,3,-16,60,False,4,0,4,True,23,14,1988683261,2677848701
0.2,0,5,5,-14,60,False,5,1,5,True,182,233,263841224,3531698935
0.2,0,6,6,-13,60,False,6,1,6,True,205,92,3531698935,515086452
0.2,0,7,7,-12,60,False,7,1,7,True,157,120,515086452,1021539344
0.2,0,8,8,-11,60,False,8,1,8,True,144,76,1021539344,1534276539
0.2,0,9,9,-10,60,False,9,1,9,True,132,135,1534276539,4225193153
0.2,0,10,10,-9,60,False,10,1,10,True,193,174,4225193153,2680931039
0.2,0,11,11,-8,60,False,11,1,11,True,181,84,2680931039,3821198068
0.2,0,12,12,-7,60,False,12,1,12,True,19,135,3821198068,3333533055
0.2,0,13,13,-6,60,False,13,1,13,True,185,95,3333533055,3756345482
0.2,0,14,14,-5,60,False,14,1,14,True,227,34,3756345482,364380949
0.2,0,15,15,-4,60,False,15,1,15,True,133,143,364380949,3283420129
0.2,0,16,16,-3,60,False,16,1,16,True,51,35,3283420129,2109694035
0.2,0,17,17,-2,60,False,17,1,17,True,135,122,2109694035,1323037321
0.2,0,18,18,-1,60,False,18,1,18,True,170,6,1323037321,2932232616
0.2,0,19,19,0,60,False,19,1,19,True,53,22,2932232616,959586516
0.2,0,21,21,2,60,True,19,2,20,True,124,184,369227209,159028224
0.2,0,22,22,3,60,True,19,2,21,True,124,184,159028224,1188080670
0.2,0,23,23,4,60,True,19,2,22,True,124,184,1188080670,3414165203
0.2,0,24,24,5,60,True,19,2,23,True,124,184,3414165203,1215546913
0.2,0,25,25,6,60,True,19,2,24,True,124,184,1215546913,117655301
0.2,0,26,26,7,60,True,19,2,25,True,124,184,117655301,1694089972
0.2,0,27,27,8,60,True,19,2,26,True,124,184,1694089972,1927849080
0.2,0,28,28,9,60,True,19,2,27,True,124,184,1927849080,881403043
0.2,0,30,30,11,60,True,19,3,28,True,124,184,290148888,2155938634
0.2,0,31,31,12,60,True,19,3,29,True,124,184,2155938634,3428832667
0.2,0,32,32,13,60,True,19,3,30,True,124,184,3428832667,12750172
0.2,0,33,33,14,60,True,19,3,31,True,124,184,12750172,1038962027
0.2,0,34,34,15,60,True,19,3,32,True,124,184,1038962027,3472014867
0.2,0,35,35,16,60,True,19,3,33,True,124,184,3472014867,410824228
0.2,0,36,36,17,60,True,19,3,34,True,124,184,410824228,516815495
0.2,0,37,37,18,60,True,19,3,35,True,124,184,516815495,390411510
0.2,0,38,38,19,60,True,19,3,36,True,124,184,390411510,215561586
0.2,0,40,40,21,60,True,19,4,37,True,124,184,563019712,3771139738
0.2,0,44,44,25,60,True,19,7,38,True,124,184,2624609862,1453663946
0.2,0,46,46,27,60,True,19,8,39,True,124,184,2037062409,1312726596
0.2,0,48,48,29,60,True,19,9,40,True,124,184,4149426704,1352582626
0.2,0,49,49,30,60,True,19,9,41,True,124,184,1352582626,1467418432
0.2,0,51,51,32,60,True,19,10,42,True,124,184,3968915427,2899236837
0.2,0,52,52,33,60,True,19,10,43,True,124,184,2899236837,440900326
0.2,0,54,54,35,60,True,19,11,44,True,124,184,397136110,1099264884
0.2,0,56,56,37,60,True,19,12,45,True,124,184,3481122616,2845358264
0.2,0,57,57,38,60,True,19,12,46,True,124,184,2845358264,3576023063
0.2,0,59,59,40,60,True,19,13,47,True,124,184,2178028202,1869795403
0.2,0,60,60,41,60,True,19,13,48,True,124,184,1869795403,4218454308
0.2,0,61,61,42,60,True,19,13,49,True,124,184,4218454308,1966333053
0.2,0,63,63,44,60,True,19,14,50,True,124,184,2673346386,1080993208
0.2,0,64,64,45,60,True,19,14,51,True,124,184,1080993208,1545067174
0.2,0,66,66,47,60,True,19,15,52,True,124,184,1176116501,3147594113
0.2,0,67,67,48,60,True,19,15,53,True,124,184,3147594113,838425705
0.2,0,68,68,49,60,True,19,15,54,True,124,184,838425705,2969125162
0.2,0,69,69,50,60,True,19,15,55,True,124,184,2969125162,1195896661
0.2,0,71,71,52,60,True,19,16,56,True,124,184,2718610827,2915088683
0.2,0,73,73,54,60,True,19,17,57,True,124,184,310986437,3008117910
0.2,0,74,74,55,60,True,19,17,58,True,124,184,3008117910,2154771538
0.2,0,75,75,56,60,True,19,17,59,True,124,184,2154771538,1275933156
0.2,0,76,76,57,60,True,19,17,60,True,124,184,1275933156,1897109160
0.2,0,77,77,58,60,True,19,17,61,True,124,184,1897109160,1968099412
0.2,1,1,81,-18,60,False,1,1,1,True,37,37,2525019014,2592004160
0.2,1,2,82,-17,60,False,2,1,2,True,44,160,2592004160,1988683261
0.2,1,3,83,-16,60,False,3,1,3,True,160,216,1988683261,2677848701
0.2,1,4,84,-15,60,False,4,1,4,True,183,200,2677848701,263841224
0.2,1,5,85,-14,60,False,5,1,5,True,128,57,263841224,3531698935
