PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.8,0,4,4,-15,60,False,1,4,1,True,116,116,2677848701,263841224
0.8,0,5,5,-14,60,False,2,4,2,True,81,188,263841224,3531698935
0.8,0,10,10,-9,60,False,3,8,3,True,76,211,4225193153,2680931039
0.8,0,13,13,-6,60,False,4,10,4,True,108,207,3333533055,3756345482
0.8,0,30,30,11,60,False,5,26,5,True,5,184,290148888,2155938634
0.8,0,31,31,12,60,False,6,26,6,True,48,12,2155938634,3428832667
0.8,0,34,34,15,60,False,7,28,7,True,234,187,1038962027,3472014867
0.8,0,37,37,18,60,False,8,30,8,True,28,165,516815495,390411510
0.8,0,40,40,21,60,False,9,32,9,True,204,122,563019712,3771139738
0.8,0,44,44,25,60,False,10,35,10,True,199,204,2624609862,1453663946
0.8,0,46,46,27,60,False,11,36,11,True,218,251,2037062409,1312726596
0.8,0,60,60,41,60,False,12,49,12,True,27,202,1869795403,4218454308
0.8,0,66,66,47,60,False,13,54,13,True,105,23,1176116501,3147594113
0.8,1,2,82,-17,60,False,1,2,1,True,16,16,2592004160,1988683261
0.8,1,7,87,-12,60,False,2,6,2,True,230,69,515086452,1021539344
0.8,1,14,94,-5,60,False,3,12,3,True,109,234,3756345482,364380949
0.8,1,17,97,-2,60,False,4,14,4,True,218,190,2109694035,1323037321
0.8,1,19,99,0,60,False,5,15,5,True,139,184,2932232616,959586516
0.8,1,20,100,1,60,False,6,15,6,True,30,172,959586516,369227209
0.8,1,21,101,2,60,False,7,15,7,True,215,251,369227209,159028224
0.8,1,30,110,11,60,False,8,23,8,True,37,143,290148888,2155938634
0.8,1,39,119,20,60,False,9,31,9,True,22,4,215561586,563019712
0.8,1,42,122,23,60,False,10,33,10,True,75,118,4123221981,2644194349
0.8,1,43,123,24,60,False,11,33,11,True,101,180,2644194349,2624609862
0.8,1,51,131,32,60,False,12,40,12,True,128,123,3968915427,2899236837
